Years,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,Final
27: customers with PV,1674,2124,2920,4255,5994,7980,9925,11774,13490,15019,16249,17201,17950,18581,19122,19588,19993,20350,20666,20955,21239,21519,21796,22068,22337,22600,22860,23119,23378,23638,23897,24156,24414,24672,24930,25186
28: customers with PV,1674,3233,5138,7268,9367,11381,13238,14872,16192,17195,17971,18636,19202,19682,20097,20454,20768,21067,21355,21630,21896,22154,22405,22650,22897,23146,23398,23652,23907,24161,24412,24662,24910,25156,25399,25642
29: customers with PV,1674,3657,7288,12564,16696,18520,19531,20233,20810,21291,21728,22129,22497,22831,23140,23429,23701,23958,24202,24435,24658,24871,25075,25271,25460,25643,25821,25994,26163,26331,26501,26673,26847,27024,27203,27384
30: customers with PV,1674,8829,15221,18073,19404,20205,20837,21348,21806,22226,22606,22953,23272,23568,23844,24102,24345,24574,24791,24997,25195,25383,25565,25740,25910,26075,26239,26405,26573,26743,26914,27088,27263,27441,27620,27802
31: customers with PV,1674,3657,7288,12564,16696,18520,19531,20233,20810,21291,21728,22095,22350,22531,22660,22749,22814,22868,22911,22940,22959,22979,23005,23044,23102,23180,23276,23391,23533,23698,23866,24037,24211,24386,24564,24744
32: customers with PV,1674,8829,15221,18073,19404,20205,20837,21348,21806,22226,22606,22905,23094,23222,23306,23355,23383,23399,23406,23400,23385,23372,23369,23378,23409,23461,23537,23639,23774,23938,24109,24281,24455,24632,24810,24990
33: customers with PV,1674,2138,2993,4430,6283,8324,10299,12174,13889,15389,16536,17392,18057,18593,19022,19356,19609,19795,19932,20036,20109,20154,20172,20163,20127,20067,19987,19888,19770,19635,19480,19306,19113,18902,18674,18428
34: customers with PV,1674,3248,5206,7367,9499,11547,13427,15068,16365,17334,18071,18681,19173,19558,19855,20072,20241,20378,20484,20556,20596,20608,20593,20557,20502,20427,20332,20218,20085,19933,19762,19570,19360,19132,18885,18622
35: customers with PV,1674,2138,2993,4430,6283,8324,10299,12174,13876,15347,16466,17280,17893,18371,18737,19004,19190,19308,19375,19408,19410,19382,19326,19243,19133,18997,18840,18663,18468,18254,18020,17766,17493,17201,16891,16563
36: customers with PV,1674,3248,5206,7367,9499,11547,13427,15066,16342,17278,17983,18546,18981,19305,19535,19683,19783,19850,19884,19884,19851,19789,19699,19588,19456,19304,19132,18939,18727,18496,18244,17972,17680,17370,17041,16694
37: customers with PV,1674,3725,7601,13112,17023,18726,19672,20361,20913,21264,21487,21570,21478,21249,20881,20389,19803,19150,18434,17652,16818,15952,15066,14167,13259,12347,11438,10540,9660,8799,7959,7140,6348,5585,4851,4146
38: customers with PV,1674,8895,15370,18157,19464,20260,20889,21399,21844,22121,22273,22280,22116,21821,21389,20836,20192,19485,18719,17891,17015,16112,15193,14265,13337,12413,11496,10589,9701,8833,7985,7159,6360,5590,4850,4139
39: customers with PV,1674,3725,7601,13112,17023,18726,19672,20286,20647,20826,20830,20633,20242,19710,19057,18303,17477,16608,15701,14755,13782,12804,11829,10863,9912,8978,8069,7191,6347,5538,4762,4019,3310,2639,2005,1409
40: customers with PV,1674,8895,15370,18157,19464,20260,20889,21303,21546,21645,21562,21277,20804,20198,19477,18658,17773,16849,15893,14901,13889,12876,11871,10881,9915,8974,8061,7178,6331,5518,4739,3992,3280,2606,1969,1371
41: customers with PV,1674,2138,2993,4430,6283,8324,10299,12174,13889,15389,16535,17384,18036,18552,18952,19245,19446,19568,19630,19644,19606,19517,19375,19176,18919,18603,18226,17783,17271,16683,16009,15242,14376,13402,12312,11095
42: customers with PV,1674,3248,5206,7367,9499,11547,13427,15068,16365,17334,18069,18675,19164,19540,19817,20003,20133,20216,20252,20234,20161,20034,19857,19631,19353,19016,18616,18146,17605,16985,16277,15472,14566,13552,12418,11155
43: customers with PV,1674,2138,2993,4430,6283,8324,10299,12174,13875,15342,16450,17247,17830,18268,18577,18770,18861,18864,18797,18669,18476,18216,17885,17480,16996,16432,15781,15034,14186,13225,12138,10910,9530,7983,6251,4309
44: customers with PV,1674,3248,5206,7367,9499,11547,13427,15066,16340,17271,17965,18512,18928,19220,19403,19485,19502,19464,19366,19202,18968,18665,18296,17860,17349,16757,16074,15292,14405,13402,12268,10990,9556,7953,6160,4150
45: customers with PV,1674,3725,7601,13112,17023,18726,19672,20361,20913,21263,21478,21543,21417,21137,20694,20096,19368,18535,17596,16535,15364,14100,12751,11321,9809,8217,6549,4804,2979,1070,221,220,218,217,215,213
46: customers with PV,1674,8895,15370,18157,19464,20260,20889,21399,21844,22119,22265,22257,22064,21721,21218,20561,19776,18889,17898,16790,15574,14269,12884,11423,9891,8284,6600,4840,2998,1071,220,219,218,216,214,213
47: customers with PV,1674,3725,7601,13112,17023,18726,19672,20285,20639,20803,20778,20530,20059,19409,18595,17625,16527,15323,14014,12587,11051,9425,7717,5931,4063,2104,195,218,217,215,213,212,210,209,208,207
48: customers with PV,1674,8895,15370,18157,19464,20260,20889,21302,21540,21624,21515,21182,20632,19913,19032,17997,16836,15575,14211,12733,11150,9482,7737,5920,4033,2057,190,218,216,215,213,211,210,209,207,206
49: customers with PV,1674,2147,3042,4553,6497,8576,10593,12510,14255,15749,16887,17752,18459,19048,19545,19963,20312,20614,20896,21159,21405,21634,21848,22050,22249,22444,22637,22828,23018,23208,23396,23583,23770,23960,24153,24347
50: customers with PV,1674,3259,5249,7435,9599,11685,13600,15264,16557,17520,18297,18957,19499,19943,20311,20623,20912,21181,21431,21660,21871,22069,22261,22450,22635,22817,22996,23171,23345,23518,23691,23863,24036,24213,24392,24574
51: customers with PV,1674,2147,3042,4553,6497,8576,10593,12510,14255,15743,16858,17688,18363,18918,19372,19741,20038,20285,20509,20710,20891,21054,21201,21336,21466,21593,21717,21838,21959,22081,22202,22323,22447,22573,22705,22845
52: customers with PV,1674,3259,5249,7435,9599,11685,13600,15264,16557,17507,18255,18877,19386,19792,20112,20374,20607,20818,21007,21173,21317,21446,21570,21690,21805,21916,22023,22127,22231,22334,22437,22542,22651,22763,22879,23004
53: customers with PV,1674,3770,7853,13589,17283,18902,19811,20497,21053,21539,21966,22240,22405,22500,22528,22488,22393,22261,22095,21880,21629,21362,21090,20821,20565,20324,20097,19890,19708,19549,19412,19297,19209,19146,19110,19101
54: customers with PV,1674,8941,15474,18224,19520,20319,20952,21470,21939,22367,22729,22933,23041,23083,23058,22966,22822,22645,22436,22181,21893,21594,21301,21022,20756,20505,20268,20051,19861,19693,19548,19425,19329,19260,19217,19202
55: customers with PV,1674,3770,7853,13589,17283,18902,19811,20497,20994,21311,21531,21627,21579,21434,21201,20882,20505,20097,19660,19187,18692,18193,17699,17218,16758,16320,15906,15517,15161,14837,14543,14282,14058,13870,13713,13600
56: customers with PV,1674,8941,15474,18224,19520,20319,20952,21470,21861,22106,22254,22275,22156,21949,21654,21275,20843,20385,19903,19390,18858,18328,17815,17324,16855,16410,15987,15590,15226,14894,14593,14324,14093,13899,13735,13616
57: customers with PV,1674,2147,3042,4553,6497,8576,10593,12510,14255,15749,16887,17752,18459,19053,19561,19986,20337,20644,20930,21193,21432,21650,21850,22042,22229,22409,22583,22751,22914,23075,23233,23390,23547,23708,23875,24046
58: customers with PV,1674,3259,5249,7435,9599,11685,13600,15264,16557,17521,18314,18999,19565,20025,20400,20725,21024,21299,21549,21771,21972,22164,22347,22522,22689,22847,22997,23138,23277,23414,23549,23682,23816,23953,24095,24242
59: customers with PV,1674,2147,3042,4553,6497,8576,10593,12510,14255,15743,16856,17680,18344,18891,19338,19695,19970,20197,20394,20560,20697,20805,20890,20963,21025,21075,21114,21141,21162,21176,21186,21193,21203,21214,21230,21257
60: customers with PV,1674,3259,5249,7435,9599,11685,13600,15264,16557,17507,18268,18910,19431,19839,20149,20404,20623,20813,20970,21093,21188,21267,21332,21384,21422,21446,21457,21455,21446,21433,21416,21396,21377,21363,21353,21353
61: customers with PV,1674,3770,7853,13589,17283,18902,19811,20497,21053,21539,21966,22239,22399,22485,22497,22432,22304,22132,21916,21641,21319,20974,20616,20258,19909,19569,19241,18930,18643,18383,18148,17942,17770,17635,17542,17492
62: customers with PV,1674,8941,15474,18224,19520,20319,20952,21470,21939,22369,22734,22941,23047,23081,23041,22924,22746,22528,22268,21952,21592,21216,20842,20474,20115,19765,19426,19103,18806,18535,18290,18073,17892,17748,17645,17587
63: customers with PV,1674,3770,7853,13589,17283,18902,19811,20497,20994,21308,21518,21595,21518,21331,21042,20646,20173,19650,19079,18449,17774,17078,16372,15668,14976,14297,13634,12992,12384,11811,11275,10779,10334,9934,9589,9309
64: customers with PV,1674,8941,15474,18224,19520,20319,20952,21470,21861,22105,22247,22255,22109,21863,21511,21055,20525,19950,19331,18659,17946,17219,16495,15781,15078,14388,13714,13060,12440,11856,11309,10802,10347,9938,9584,9295
65: customers with PV,1674,2139,2995,4435,6295,8342,10324,12208,13932,15433,16576,17422,18076,18598,19004,19310,19533,19686,19792,19862,19897,19900,19872,19814,19727,19615,19481,19325,19149,18953,18735,18497,18239,17962,17668,17356
66: customers with PV,1674,3249,5209,7371,9508,11562,13448,15095,16394,17357,18091,18694,19172,19540,19812,20002,20145,20252,20324,20358,20357,20324,20262,20178,20072,19944,19793,19619,19425,19210,18974,18716,18438,18143,17830,17500
67: customers with PV,1674,2139,2995,4435,6295,8342,10324,12208,13915,15388,16500,17301,17901,18361,18704,18945,19102,19187,19226,19228,19194,19128,19031,18903,18746,18565,18362,18137,17893,17629,17344,17039,16714,16372,16013,15638
68: customers with PV,1674,3249,5209,7371,9508,11562,13448,15092,16366,17297,17996,18548,18967,19270,19476,19599,19674,19712,19715,19680,19609,19506,19374,19220,19044,18846,18625,18382,18119,17836,17532,17207,16864,16503,16125,15732
69: customers with PV,1674,3727,7615,13155,17051,18748,19691,20380,20912,21228,21421,21438,21274,20951,20489,19908,19240,18517,17745,16923,16068,15202,14335,13474,12623,11787,10971,10180,9419,8687,7982,7305,6657,6041,5455,4899
70: customers with PV,1674,8899,15382,18166,19473,20269,20899,21411,21830,22070,22185,22118,21875,21479,20948,20301,19572,18793,17971,17104,16209,15308,14411,13527,12662,11819,10998,10202,9436,8700,7991,7310,6659,6039,5450,4892
71: customers with PV,1674,3727,7615,13155,17051,18748,19691,20277,20618,20756,20707,20442,19983,19386,18677,17876,17018,16132,15225,14296,13359,12433,11527,10646,9792,8966,8172,7415,6696,6013,5365,4750,4170,3625,3113,2631
72: customers with PV,1674,8899,15382,18166,19473,20269,20897,21282,21503,21553,21414,21054,20508,19834,19054,18188,17270,16331,15376,14406,13433,12477,11546,10645,9780,8950,8156,7397,6677,5994,5345,4729,4148,3603,3090,2608
73: customers with PV,1674,2139,2995,4435,6295,8342,10324,12208,13932,15433,16573,17411,18049,18545,18915,19170,19331,19408,19423,19379,19273,19104,18870,18570,18202,17767,17261,16679,16020,15279,14451,13533,12525,11428,10245,8979
74: customers with PV,1674,3249,5209,7371,9508,11562,13448,15095,16394,17356,18087,18689,19165,19521,19767,19917,20008,20045,20025,19941,19793,19581,19312,18984,18592,18129,17592,16976,16281,15502,14634,13674,12625,11488,10265,8958
75: customers with PV,1674,2139,2995,4435,6295,8342,10324,12208,13914,15381,16481,17261,17827,18239,18516,18669,18717,18672,18554,18365,18099,17757,17335,16829,16241,15567,14802,13941,12985,11928,10765,9496,8123,6654,5097,3469
76: customers with PV,1674,3249,5209,7371,9508,11562,13448,15092,16364,17288,17974,18513,18911,19178,19326,19371,19346,19259,19102,18869,18557,18168,17707,17170,16550,15843,15041,14141,13142,12041,10834,9519,8102,6590,4991,3325
77: customers with PV,1674,3727,7615,13155,17051,18748,19691,20380,20912,21224,21406,21400,21195,20808,20255,19547,18716,17791,16776,15664,14471,13223,11935,10617,9276,7919,6557,5198,3857,2545,1256,297,250,244,242,240
78: customers with PV,1674,8899,15382,18166,19473,20269,20899,21411,21830,22066,22172,22085,21805,21349,20729,19955,19062,18079,17010,15848,14611,13324,12001,10658,9301,7935,6563,5195,3846,2525,1229,291,249,244,241,239
79: customers with PV,1674,3727,7615,13155,17051,18748,19691,20276,20608,20728,20644,20321,19769,19041,18153,17122,15981,14760,13465,12091,10655,9184,7693,6194,4694,3204,1736,346,243,236,234,232,230,228,227,226
80: customers with PV,1674,8899,15382,18166,19473,20269,20897,21280,21494,21527,21356,20941,20306,19502,18544,17445,16240,14961,13612,12190,10712,9205,7683,6161,4648,3151,1678,314,241,236,234,231,230,228,227,225
81: customers with PV,1674,2147,3041,4550,6489,8567,10581,12496,14236,15729,16866,17732,18443,19034,19534,19958,20317,20628,20920,21196,21457,21706,21943,22168,22388,22607,22827,23048,23275,23508,23746,23986,24223,24457,24688,24917
82: customers with PV,1674,3259,5249,7435,9599,11684,13597,15259,16551,17512,18287,18947,19493,19942,20313,20631,20926,21203,21464,21709,21938,22156,22371,22583,22794,23003,23211,23421,23635,23855,24081,24309,24536,24760,24983,25203
83: customers with PV,1674,2147,3041,4550,6489,8567,10581,12496,14236,15725,16841,17673,18350,18909,19373,19753,20064,20325,20567,20791,20999,21194,21379,21555,21729,21905,22082,22261,22443,22628,22815,23004,23195,23390,23593,23807
84: customers with PV,1674,3259,5249,7435,9599,11684,13597,15259,16551,17501,18248,18872,19384,19797,20130,20399,20644,20871,21080,21271,21447,21611,21771,21931,22093,22257,22422,22589,22759,22931,23105,23282,23462,23645,23837,24041
85: customers with PV,1674,3770,7854,13596,17287,18905,19812,20497,21052,21536,21971,22272,22452,22573,22640,22657,22640,22604,22552,22480,22397,22313,22235,22167,22113,22072,22044,22037,22064,22137,22255,22417,22591,22766,22943,23121
86: customers with PV,1674,8944,15480,18228,19522,20321,20954,21471,21940,22366,22738,22966,23088,23158,23174,23142,23079,23002,22911,22806,22691,22580,22480,22399,22338,22294,22263,22251,22272,22339,22452,22609,22782,22956,23132,23308
87: customers with PV,1674,3770,7854,13596,17287,18905,19812,20497,21002,21326,21556,21674,21675,21579,21413,21198,20946,20682,20411,20124,19833,19555,19289,19040,18823,18641,18491,18371,18285,18225,18191,18181,18189,18228,18315,18454
88: customers with PV,1674,8944,15480,18228,19522,20321,20954,21471,21869,22119,22277,22322,22253,22092,21870,21597,21292,20980,20666,20340,20015,19708,19420,19156,18932,18746,18592,18468,18379,18316,18279,18266,18271,18307,18391,18526
89: customers with PV,1674,2147,3041,4550,6489,8567,10581,12496,14236,15729,16866,17732,18443,19036,19544,19977,20342,20660,20961,21243,21509,21761,22000,22231,22461,22691,22922,23156,23397,23644,23895,24147,24395,24640,24881,25120
90: customers with PV,1674,3259,5249,7435,9599,11684,13597,15259,16551,17512,18300,18984,19554,20018,20399,20730,21037,21325,21592,21839,22068,22293,22515,22736,22954,23169,23384,23601,23822,24050,24284,24521,24756,24988,25216,25440
91: customers with PV,1674,2147,3041,4550,6489,8567,10581,12496,14236,15725,16840,17667,18334,18882,19338,19709,20004,20249,20473,20675,20857,21022,21171,21314,21457,21602,21748,21897,22052,22212,22377,22549,22727,22916,23121,23341
92: customers with PV,1674,3259,5249,7435,9599,11684,13597,15259,16551,17501,18259,18900,19425,19842,20167,20432,20668,20881,21070,21235,21379,21515,21645,21773,21900,22028,22155,22285,22419,22559,22705,22860,23023,23196,23384,23588
93: customers with PV,1674,3770,7854,13596,17287,18905,19812,20497,21052,21536,21971,22271,22448,22562,22619,22620,22583,22523,22444,22342,22225,22107,21995,21897,21818,21757,21713,21698,21724,21803,21927,22093,22269,22446,22624,22803
94: customers with PV,1674,8944,15480,18228,19522,20321,20954,21471,21940,22368,22743,22974,23096,23161,23166,23118,23034,22932,22813,22675,22526,22379,22247,22139,22055,21990,21942,21921,21940,22012,22130,22291,22466,22641,22818,22995
95: customers with PV,1674,3770,7854,13596,17287,18905,19812,20497,21002,21323,21545,21647,21621,21491,21280,21007,20687,20348,19993,19613,19222,18837,18463,18112,17797,17521,17283,17083,16927,16809,16732,16688,16679,16722,16827,16980
96: customers with PV,1674,8944,15480,18228,19522,20321,20954,21471,21869,22117,22271,22305,22213,22019,21753,21422,21047,20657,20256,19835,19408,18994,18599,18234,17913,17632,17388,17183,17023,16900,16818,16770,16758,16796,16897,17047
97: customers with PV,1674,2161,3116,4720,6752,8864,10910,12843,14570,15976,16982,17692,18226,18611,18869,19016,19071,19072,19024,18926,18780,18588,18354,18086,17785,17450,17081,16678,16243,15777,15278,14747,14188,13601,12987,12347
98: customers with PV,1674,3274,5302,7518,9717,11837,13771,15432,16675,17566,18246,18760,19126,19365,19497,19559,19569,19529,19441,19302,19116,18894,18639,18350,18026,17669,17276,16850,16392,15902,15381,14829,14249,13641,13007,12348
99: customers with PV,1674,2161,3116,4720,6752,8864,10910,12826,14528,15895,16849,17501,17974,18295,18489,18570,18558,18491,18376,18209,17994,17733,17430,17092,16722,16318,15880,15409,14906,14372,13807,13210,12585,11934,11257,10555
100: customers with PV,1674,3274,5302,7518,9717,11837,13769,15404,16618,17462,18085,18537,18840,19013,19078,19073,19014,18906,18749,18540,18284,17993,17667,17308,16915,16488,16027,15532,15005,14448,13860,13243,12597,11926,11229,10507
101: customers with PV,1674,3836,8188,14097,17540,19063,19931,20528,20845,20942,20800,20384,19730,18909,17947,16873,15727,14545,13341,12121,10905,9715,8566,7471,6432,5449,4523,3654,2844,2091,1392,744,376,323,310,305
102: customers with PV,1674,9010,15584,18292,19571,20370,21000,21424,21648,21655,21417,20909,20174,19276,18243,17104,15900,14667,13419,12163,10918,9713,8558,7457,6413,5426,4496,3624,2811,2056,1354,707,369,320,308,303
103: customers with PV,1674,3836,8188,14097,17540,19063,19822,20239,20326,20134,19691,18999,18102,17071,15935,14725,13478,12227,10985,9757,8558,7407,6314,5289,4332,3440,2612,1846,1141,525,342,314,307,303,299,295
104: customers with PV,1674,9010,15584,18292,19571,20370,20866,21104,21080,20786,20240,19453,18472,17363,16158,14885,13584,12287,11006,9745,8523,7361,6267,5242,4284,3392,2563,1797,1092,490,336,312,305,301,297,292
105: customers with PV,1674,2161,3116,4720,6752,8864,10910,12843,14569,15968,16960,17642,18142,18475,18654,18685,18589,18398,18103,17691,17152,16482,15679,14732,13623,12335,10849,9149,7221,5051,2622,50,182,205,203,201
106: customers with PV,1674,3274,5302,7518,9717,11837,13771,15432,16674,17569,18258,18771,19113,19297,19347,19301,19159,18919,18572,18107,17525,16819,15977,14984,13826,12484,10940,9180,7191,4956,2459,158,205,203,200,197
107: customers with PV,1674,2161,3116,4720,6752,8864,10910,12825,14519,15869,16794,17396,17805,18035,18098,17997,17755,17399,16918,16294,15515,14575,13468,12178,10683,8961,6991,4754,2237,187,208,205,203,200,197,192
108: customers with PV,1674,3274,5302,7518,9717,11837,13769,15402,16606,17445,18062,18490,18736,18813,18745,18565,18272,17863,17323,16642,15815,14832,13677,12332,10778,8993,6955,4647,2057,70,186,203,200,197,192,187
109: customers with PV,1674,3836,8188,14097,17540,19063,19931,20527,20836,20912,20729,20237,19460,18454,17233,15811,14223,12500,10653,8678,6598,4442,2234,157,212,211,209,207,205,204,202,200,198,195,191,187
110: customers with PV,1674,9010,15584,18292,19571,20370,21000,21423,21641,21631,21358,20779,19921,18837,17541,16048,14394,12613,10713,8693,6579,4403,2178,166,212,211,208,206,205,203,201,200,197,193,189,186
111: customers with PV,1674,3836,8188,14097,17540,19063,19820,20227,20288,20046,19514,18676,17558,16219,14675,12943,11058,9055,6944,4725,2419,146,210,210,208,206,204,202,201,199,196,192,188,185,182,179
112: customers with PV,1674,9010,15584,18292,19571,20370,20865,21093,21046,20706,20076,19144,17941,16520,14898,13093,11143,9082,6920,4659,2321,134,207,209,207,205,203,202,200,198,195,191,187,183,180,177
