Years,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,Final
30: defectors,1,265,463,576,662,741,820,898,978,1060,1143,1228,1314,1401,1490,1580,1673,1766,1861,1956,2054,2152,2251,2351,2451,2553,2656,2760,2865,2971,3079,3187,3297,3407,3519,3632
31: defectors,1,280,544,769,925,1026,1112,1195,1277,1360,1444,1564,1764,2005,2274,2564,2861,3156,3449,3747,4046,4336,4611,4867,5097,5302,5485,5646,5777,5883,5989,6096,6205,6315,6426,6538
32: defectors,1,265,463,576,662,741,820,898,978,1060,1143,1275,1492,1747,2027,2327,2634,2939,3243,3551,3860,4159,4442,4707,4946,5160,5350,5516,5653,5763,5870,5978,6087,6197,6309,6421
33: defectors,1,101,203,308,414,521,627,732,836,941,1061,1199,1367,1561,1780,2027,2292,2572,2869,3188,3527,3884,4257,4647,5052,5475,5917,6376,6852,7345,7857,8387,8936,9501,10083,10681
34: defectors,1,100,201,302,403,504,603,701,796,895,1020,1172,1354,1558,1782,2028,2295,2579,2882,3206,3552,3915,4294,4689,5102,5533,5982,6449,6933,7434,7954,8493,9049,9623,10213,10820
35: defectors,1,101,203,308,414,521,627,732,850,983,1132,1311,1532,1784,2068,2381,2714,3063,3430,3820,4232,4661,5109,5573,6054,6554,7072,7610,8164,8737,9329,9940,10570,11217,11881,12563
36: defectors,1,100,201,302,403,504,603,702,819,951,1109,1307,1547,1813,2104,2418,2755,3110,3484,3881,4300,4738,5192,5664,6153,6662,7189,7735,8299,8881,9481,10102,10740,11396,12070,12760
37: defectors,1,280,544,766,913,1014,1102,1189,1285,1498,1799,2211,2766,3426,4202,5081,6036,7041,8095,9203,10353,11525,12709,13899,15091,16283,17472,18652,19817,20965,22096,23208,24297,25359,26395,27405
38: defectors,1,265,462,575,663,745,827,910,1010,1240,1560,1996,2578,3264,4064,4969,5947,6975,8049,9176,10344,11531,12727,13929,15131,16332,17529,18718,19892,21048,22186,23306,24401,25469,26510,27525
39: defectors,1,280,544,766,913,1014,1102,1264,1552,1937,2457,3148,4002,4967,6028,7170,8364,9585,10831,12104,13393,14678,15951,17207,18443,19657,20846,22008,23138,24235,25303,26341,27348,28320,29257,30159
40: defectors,1,265,462,575,663,745,827,1005,1307,1716,2271,3000,3890,4887,5978,7148,8368,9612,10878,12169,13472,14769,16052,17316,18557,19776,20970,22136,23270,24372,25443,26484,27493,28468,29407,30309
41: defectors,1,101,203,308,414,521,627,732,836,941,1062,1207,1389,1605,1857,2148,2469,2818,3200,3624,4091,4598,5148,5743,6387,7087,7846,8672,9566,10535,11588,12734,13979,15329,16795,18387
42: defectors,1,100,201,302,403,504,603,701,796,895,1022,1182,1379,1605,1861,2151,2474,2828,3217,3648,4123,4639,5198,5804,6460,7174,7949,8791,9702,10690,11764,12932,14201,15577,17071,18695
43: defectors,1,101,203,308,414,521,627,732,850,988,1147,1347,1601,1899,2245,2638,3071,3542,4056,4625,5251,5933,6675,7479,8354,9306,10346,11481,12717,14065,15538,17152,18917,20847,22961,25286
44: defectors,1,100,201,302,403,504,603,702,821,958,1127,1346,1619,1931,2283,2678,3116,3594,4119,4698,5335,6029,6784,7604,8496,9468,10530,11688,12949,14325,15828,17474,19276,21246,23406,25782
45: defectors,1,280,544,766,913,1014,1102,1189,1285,1500,1809,2239,2828,3540,4392,5379,6477,7665,8945,10335,11825,13398,15047,16770,18567,20441,22394,24427,26544,28748,29896,30198,30503,30810,31119,31430
46: defectors,1,265,462,575,663,745,827,910,1010,1242,1568,2022,2635,3371,4246,5257,6378,7588,8889,10298,11806,13396,15060,16796,18607,20496,22464,24512,26646,28867,30016,30317,30620,30925,31233,31541
47: defectors,1,280,544,766,913,1014,1102,1265,1559,1960,2510,3252,4188,5271,6496,7857,9328,10887,12538,14296,16152,18088,20097,22176,24331,26575,28772,29040,29335,29633,29932,30235,30539,30845,31153,31463
48: defectors,1,265,462,575,663,745,827,1006,1314,1737,2319,3097,4068,5182,6436,7825,9323,10908,12583,14363,16239,18192,20217,22310,24479,26740,28896,29158,29453,29750,30049,30349,30652,30957,31263,31571
49: defectors,1,101,203,307,413,518,622,726,828,928,1025,1123,1243,1380,1527,1685,1850,2017,2189,2368,2553,2741,2932,3124,3318,3514,3712,3912,4111,4309,4508,4706,4903,5098,5289,5479
50: defectors,1,100,201,301,402,501,599,695,788,880,972,1079,1211,1356,1507,1665,1829,1997,2170,2351,2538,2729,2922,3118,3316,3515,3716,3919,4121,4323,4524,4724,4924,5121,5314,5505
51: defectors,1,101,203,307,413,518,622,726,828,933,1054,1187,1339,1511,1702,1908,2126,2348,2578,2819,3068,3323,3580,3840,4102,4367,4634,4903,5170,5437,5702,5965,6224,6481,6733,6977
52: defectors,1,100,201,301,402,501,599,695,788,893,1015,1159,1324,1508,1706,1915,2134,2361,2595,2840,3094,3352,3614,3879,4147,4417,4689,4963,5235,5506,5776,6043,6307,6566,6822,7069
53: defectors,1,280,543,760,900,997,1083,1168,1255,1342,1448,1671,1973,2313,2699,3132,3599,4084,4588,5128,5693,6263,6828,7384,7930,8465,8987,9495,9980,10446,10893,11322,11727,12110,12469,12804
54: defectors,1,265,461,572,658,739,820,902,986,1073,1189,1433,1749,2104,2501,2947,3427,3925,4443,4996,5573,6154,6729,7294,7849,8394,8926,9442,9935,10408,10861,11296,11706,12093,12457,12795
55: defectors,1,280,543,760,900,997,1083,1168,1313,1570,1882,2284,2798,3379,4026,4737,5486,6248,7023,7820,8629,9431,10218,10986,11735,12465,13175,13863,14522,15151,15753,16326,16865,17370,17848,18284
