Years,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,Final
15: regular customers,45674,43840.7531,40483.60283,35586.81417,31630.57694,29956.4557,29182.88222,28791.58359,28525.97141,28363.42476,28258.61375,28188.34438,28152.51512,28152.13951,28180.70387,28232.66641,28303.47071,28391.48405,28494.97461,28611.6708,28740.17945,28880.61598,29032.33956,29194.33779,29365.61477,29545.28355,29732.57905,29926.85007,30127.57522,30334.21638,30546.27181,30763.34353,30985.14158,31211.38683,31441.80261,31676.13283
16: regular customers,45674,38778.80608,32727.77037,30017.91497,28940.68358,28441.40238,28123.34077,27930.53638,27800.52835,27709.22635,27657.84443,27639.94274,27653.70954,27695.07902,27758.25806,27840.78832,27940.66817,28056.1809,28185.56661,28326.69625,28478.22991,28640.02184,28811.25995,28991.06416,29178.57086,29373.01122,29573.75231,29780.28148,29992.18018,30208.97366,30430.18225,30655.48272,30884.69812,31117.39396,31352.06727,31588.51259
17: regular customers,45674,45503.06968,44955.03809,43837.55279,42313.80758,40583.77042,38926.22134,37377.30273,35982.87237,34789.74157,33916.5047,33318.26147,32913.82196,32618.94084,32408.43938,32267.14712,32184.02382,32150.74886,32160.05834,32199.84971,32251.0429,32313.90509,32389.12696,32476.20565,32574.66169,32683.82222,32803.10398,32931.96589,33069.09079,33210.42501,33355.728,33505.23664,33658.92989,33816.82892,33978.91761,34145.18713
18: regular customers,45674,44399.89874,42768.86688,40915.19346,39095.48287,37367.08169,35808.22337,34484.26696,33485.43262,32809.59067,32362.52095,32028.52981,31789.93978,31634.6325,31545.11094,31510.52078,31520.63465,31552.27569,31597.96625,31655.99582,31725.31356,31806.59328,31900.00045,32005.06142,32121.28393,32246.4102,32376.55285,32511.65389,32651.69511,32796.58462,32946.20633,33100.49512,33259.43443,33422.94612,33590.95997,33763.45966
19: regular customers,45674,45503.06968,44955.03809,43837.55279,42313.80758,40583.77042,38926.22134,37377.30273,35982.87237,34789.74157,33916.5047,33318.26566,32913.86868,32619.07655,32408.69508,32267.53196,32184.51254,32151.28435,32160.57423,32200.30816,32251.50352,32314.33099,32389.51304,32476.56852,32574.99952,32684.17956,32803.51021,32932.47427,33069.73786,33211.23498,33356.59386,33506.1481,33659.90829,33817.89063,33980.08361,34146.46934
20: regular customers,45674,44399.89874,42768.86688,40915.19346,39095.48287,37367.08169,35808.22337,34484.26696,33485.43262,32809.59067,32362.52095,32028.53476,31789.98114,31634.74382,31545.31219,31510.81485,31521.0699,31552.8432,31598.60929,31656.64236,31725.97462,31807.31184,31900.80337,32005.97333,32122.24879,32247.40103,32377.59753,32512.77093,32652.90494,32797.90561,32947.65264,33102.07803,33261.17183,33424.87253,33593.09296,33765.79556
21: regular customers,45674,45503.06968,44955.03809,43837.55279,42313.80758,40583.77042,38926.22134,37377.30273,35982.87237,34789.74157,33916.5047,33318.26147,32913.82196,32618.94084,32408.43938,32267.14788,32184.02829,32150.76106,32160.0821,32199.88277,32250.94347,32313.48233,32388.19913,32474.58701,32572.18543,32680.31525,32798.39614,32925.91962,33061.39375,33200.80507,33343.89243,33490.22242,33639.54334,33792.06117,33947.93143,34107.29557
22: regular customers,45674,44399.89874,42768.86688,40915.19346,39095.48287,37367.08169,35808.22337,34484.26696,33485.43262,32809.59067,32362.52095,32028.52981,31789.93978,31634.6325,31545.11094,31510.52149,31520.63989,31552.29016,31597.9949,31656.0255,31724.33882,31802.47638,31891.52666,31991.44296,32102.07974,32220.33379,32343.00814,32470.19569,32601.98839,32738.37596,32879.31329,33024.85146,33175.06377,33329.7957,33488.98007,33652.7689
23: regular customers,45674,45503.06968,44955.03809,43837.55279,42313.80758,40583.77042,38926.22134,37377.30273,35982.87237,34789.74157,33916.5047,33318.26566,32913.87096,32619.08793,32408.72475,32267.59064,32184.52205,32151.03853,32159.81962,32198.59721,32248.40495,32309.52351,32382.77163,32467.71537,32563.86201,32670.64005,32787.45346,32913.84127,33047.86242,33185.6585,33326.95969,33471.79541,33619.73097,33770.90701,33925.5029,34083.64707
24: regular customers,45674,44399.89874,42768.86688,40915.19346,39095.48287,37367.08169,35808.22337,34484.26696,33485.43262,32809.59067,32362.52095,32028.53478,31789.98313,31634.75261,31545.33407,31510.85691,31521.06505,31552.64046,31597.9694,31655.20234,31722.70389,31800.1342,31888.53835,31987.90719,32097.97357,32215.40246,32337.27693,32463.69677,32594.77502,32730.49403,32870.78962,33015.68667,33165.30574,33319.64883,33478.54832,33642.0303
25: regular customers,45674,43798.8655,40284.42376,35201.62935,31336.60955,29791.01559,29076.58231,28692.47518,28434.59392,28275.90093,28167.3937,28094.34984,28056.51189,28054.54565,28081.43314,28130.29524,28198.48709,28284.32975,28386.04831,28500.89923,28627.04708,28765.24652,28914.929,29075.15345,29244.84396,29423.06077,29608.9811,29801.90833,30001.33933,30206.70944,30417.63264,30633.76154,30853.57395,31074.91681,31297.80811,31522.28224
