Years,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,Final
15: customers with PV,1674,3612.34998,7091.634282,12150.85021,16336.63328,18302.90553,19388.00254,20098.99467,20687.43751,21175.61205,21608.23331,22004.59505,22292.91363,22473.20397,22579.91777,22633.96473,22641.25213,22615.99935,22557.46085,22455.20022,22310.46565,22137.71996,21941.85746,21725.10463,21487.19457,21226.49912,20942.48713,20636.05729,20314.35488,19976.40334,19617.32716,19236.98413,18842.92497,18440.14742,18029.62486,17612.26577
16: customers with PV,1674,8689.211215,14927.14131,17910.22864,19293.75999,20110.51345,20749.97942,21266.94729,21722.78454,22141.43194,22521.91384,22864.07024,23089.63589,23215.69073,23278.94317,23292.4764,23260.28378,23197.59383,23103.52151,22965.85602,22787.28091,22582.28171,22356.05861,22111.02813,21846.78825,21561.57188,21254.54472,20925.63485,20583.08869,20225.81117,19848.82863,19451.90265,19042.51658,18625.816,18203.89322,17777.51394
17: customers with PV,1674,2129.633481,2962.657142,4366.149593,6177.979668,8199.118591,10151.98008,12000.34362,13698.73127,15200.79597,16389.307,17307.90237,18036.54971,18658.47238,19188.36302,19636.75985,20021.40584,20354.98305,20644.34267,20898.07547,21134.41333,21354.39824,21558.31004,21746.53373,21919.07091,22075.43667,22214.5714,22337.87643,22450.1328,22555.00403,22650.05631,22734.23635,22808.87877,22874.80523,22932.0876,22980.79693
18: customers with PV,1674,3233.223266,5151.219112,7294.579645,9407.732724,11433.69277,13294.73526,14925.90756,16237.80479,17232.27927,18002.13787,18661.13738,19226.88976,19711.00793,20118.92891,20459.33401,20749.16789,21014.95141,21263.47367,21493.19543,21705.77647,21901.92085,22082.18253,22246.82724,22396.03336,22530.93868,22654.06758,22767.27388,22873.27065,22971.53626,23059.01215,23135.0493,23200.98089,23257.75096,23305.4966,23344.30731
19: customers with PV,1674,2129.633481,2962.657142,4366.149593,6177.979668,8199.118591,10151.98008,12000.34362,13698.73127,15200.79597,16389.307,17298.75676,17998.6585,18583.93671,19077.30377,19491.8523,19839.60083,20130.50497,20371.03689,20573.38799,20753.0176,20912.67756,21053.51193,21176.32766,21281.39361,21368.65743,21438.28916,21490.99657,21529.68987,21557.85229,21574.66014,21580.01258,21575.31608,21561.41013,21538.38055,21506.32578
20: customers with PV,1674,3233.223266,5151.219112,7294.579645,9407.732724,11433.69277,13294.73526,14925.90756,16237.80479,17232.27927,18002.13787,18648.34461,19181.9713,19626.62148,19997.22942,20302.49202,20553.25707,20773.50224,20971.44457,21148.02707,21301.70679,21435.56536,21550.84624,21648.39171,21728.48827,21793.12886,21845.66885,21886.3381,21916.71357,21936.47171,21944.5217,21940.65368,21926.20679,21902.12238,21868.5741,21825.69177
21: customers with PV,1674,2129.633481,2962.657142,4366.149593,6177.979668,8199.118591,10151.98008,12000.34362,13698.73127,15200.79597,16389.307,17307.90237,18036.54971,18658.47238,19188.28337,19634.96128,20015.39303,20342.86521,20623.75879,20865.01925,21085.1134,21285.27831,21465.54899,21626.07535,21766.37297,21885.44127,21981.8401,22056.26327,22113.80319,22157.50586,22183.84764,22190.88792,22180.18862,22152.19552,22106.16939,22041.3763
22: customers with PV,1674,3233.223266,5151.219112,7294.579645,9407.732724,11433.69277,13294.73526,14925.90756,16237.80479,17232.27927,18002.13787,18661.13738,19226.88976,19711.00793,20118.75439,20457.13673,20742.52113,21002.08342,21241.92619,21459.02253,21656.08215,21834.97574,21995.18799,22136.34101,22257.74294,22360.8659,22447.0395,22517.23536,22574.29269,22617.09388,22640.92274,22643.81597,22626.98448,22591.25734,22536.12766,22460.86105
23: customers with PV,1674,2129.633481,2962.657142,4366.149593,6177.979668,8199.118591,10151.98008,12000.34362,13698.73127,15200.79597,16389.307,17298.5719,17995.63138,18574.91229,19058.11832,19457.64668,19785.65703,20052.69909,20264.49822,20431.77761,20568.96844,20678.92836,20762.46561,20819.74181,20850.07349,20852.21559,20825.15383,20768.65055,20686.0663,20579.31605,20445.4587,20283.04731,20093.80359,19877.95008,19634.2762,19361.60904
24: customers with PV,1674,3233.223266,5151.219112,7294.579645,9407.732724,11433.69277,13294.73526,14925.90756,16237.80479,17232.27927,18002.13787,18648.02702,19178.5301,19616.96112,19977.34508,20267.57053,20498.69254,20695.22596,20864.54164,21006.02813,21117.70947,21204.01724,21265.02094,21300.46913,21309.38734,21293.48158,21254.0158,21190.06954,21102.97463,20991.06099,20851.20894,20681.59957,20483.14929,20256.248,20000.04607,19713.48562
25: customers with PV,1674,3654.241309,7291.285998,12539.00319,16640.13822,18480.47272,19506.95729,20209.93428,20789.51137,21272.32095,21706.72708,22106.86886,22473.21375,22771.69735,22953.78053,23052.27077,23108.27425,23131.24549,23115.18764,23054.18397,22948.22931,22807.46458,22635.47972,22435.04612,22203.95581,21937.12546,21637.60204,21318.8743,20988.23489,20643.87796,20275.67342,19884.16777,19477.75547,19063.07034,18641.3698,18213.84155
