Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1: defectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Black, male",,,,"all, all",,,
2: defectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,Age,"rate (per 100,000)",% of total deaths for cohort,rank,,"rate (per 100,000)",% of total,,
3: defectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,1--4,5.1,12.5,2,,-,-,,
4: defectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,5--9,1.2,6.2,5,,0.6,5.2,,
5: defectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,10--14,2,9.9,2,,0.7,5.2,,
6: defectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,15--19,45,47.8,1,,6.6,14.8,,
7: defectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,20--24,86.6,49.9,1,,12.8,15.4,,
8: defectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,25--29,78.6,38.3,1,,10.5,10.8,,
9: defectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,30--34,67.3,28.9,1,,9.2,8,,
10: defectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,35--39,50.3,18.5,2,,7.3,5.1,,
11: defectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,40--44,30.9,8.8,4,,5.6,2.8,,
12: defectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,45--49,25.4,4.8,5,,5,1.6,,
13: defectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,50--54,19.5,2.4,9,,4.1,0.8,,15
14: defectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Assault (homicide) (*U01-*U02,X85-Y09,Y87.1) 70 12.5 5.1 ",,,,,,,
15: defectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Assault (homicide) (*U01-*U02,X85-Y09,Y87.1) 20 6.2 1.2",,,,,,,
16: defectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Assault (homicide) (*U01-*U02,X85-Y09,Y87.1) 35 9.9 2.0 ",,,,,,,
17: defectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Assault (homicide) (*U01-*U02,X85-Y09,Y87.1) 805 47.8 45.0 ",,,,,,,
